Order_ID,Order_Date,Shipment_Date,Delivery_Date,Customer_ID,Customer_Region,Customer_Country,Product_ID,Product_Name,Product_Category,Supplier_ID,Supplier_Name,Supplier_Region,Warehouse_ID,Warehouse_Location,Transportation_Mode,Order_Quantity,Unit_Price,Total_Cost,Shipping_Cost,Delivery_Time_Days,Inventory_Level,Order_Status,Profit
100025,2025-12-11,2025-12-11,2026-01-04,C3491,Asia,Pakistan,P90135,Smartatch,Electronics,S152,BlueRiverrading,Asia,WH6,Amsterdam,Sea,69,44.17,947.73,0.87,24,54,Delivered,1059.66
100026,2025-10-17,2025-10-21,2025-10-24,C2693,Africa,Kenya,P96672,Sportswearet,Apparel,S219,Atlasourcing,Africa,WH3,Dubai,Road,328,7.69,8922.32,6.13,3,1231,Inransit,5519.21
100027,2025-01-27,2025-01-30,2025-10-02,C1512,Europe,Sweden,P56175,Flooramp,Furniture,S737,Atlasourcing,Asia,WH2,Lahore,Rail,127,61.52,3213.04,3.78,11,537,Delivered,6717.55
100028,2025-03-08,2025-08-08,2025-08-21,C2679,Northmerica,Canada,P79042,Flooramp,Furniture,S185,Orionupplies,Asia,WH1,Karachi,Rail,194,45.98,8320.12,5.41,13,1293,Delayed,3567.56
100029,2025-03-28,2025-03-31,2025-04-13,C7484,Northmerica,Unitedtates,P72752,Toothpasteox,FMCG,S353,Atlasourcing,Africa,WH8,Chicago,Rail,231,4.24,909.44,6.31,13,3149,Inransit,1338.95
100030,2024-11-20,2024-11-24,2024-12-07,C9527,Middleast,Saudirabia,P40977,Sportswearet,Apparel,S596,Atlasourcing,Asia,WH8,Chicago,Sea,485,4.44,6103.4,6.86,13,1001,Delivered,8238.46
100031,2025-11-21,2025-11-23,2025-11-29,C6536,Asia,China,P79449,Vitaminack,Healthcare,S142,BlueRiverrading,Europe,WH3,Dubai,Road,53,0.46,614.38,3.98,6,4307,Inransit,118.85
100032,2024-03-30,2024-03-30,2024-04-16,C1417,Middleast,Oman,P67458,Bottledaterase,FMCG,S716,Orionupplies,Europe,WH7,Toronto,Rail,400,0.32,128.0,0.41,13,1816,Inransit,410.28
100033,2025-06-11,2025-07-11,2025-11-13,C3786,Middleast,Qatar,P93042,Bookshelf,Furniture,S647,Evergreenartners,Africa,WH8,Chicago,Road,475,17.51,5817.25,5.94,6,2193,Delivered,14338.41
100034,2025-08-06,2025-08-06,2025-08-20,C9787,Europe,Italy,P56959,Shampooack,FMCG,S828,Vertexanufacturing,Africa,WH1,Karachi,Sea,351,8.39,454.89,4.42,14,695,Delayed,1019.19
100035,2025-12-18,2025-12-21,2025-12-24,C9335,Asia,Pakistan,P96900,Faceaskox,Healthcare,S168,Summitupplyo,Africa,WH3,Dubai,Air,108,7.4,199.2,5.51,3,3138,Delivered,1028.08
100036,2025-11-23,2025-11-24,2025-12-02,C5729,Africa,Southfrica,P19348,Shampooack,FMCG,S262,Vertexanufacturing,Asia,WH4,Istanbul,Road,224,9.57,623.68,8.82,8,1253,Delivered,384.79
100037,2024-06-18,2024-06-18,2024-06-23,C2540,Asia,Indonesia,P98092,Detergentag,FMCG,S264,Vertexanufacturing,Asia,WH0,Cairo,Rail,431,9.4,1291.4,5.68,5,1688,Delivered,3670.76
100038,2024-11-05,2024-11-05,2024-11-12,C2810,Middleast,Turkey,P82124,Thermometer,Healthcare,S975,Zenithrocurement,Northmerica,WH4,Istanbul,Road,191,5.82,2571.62,7.89,7,913,Delivered,842.89
100039,2024-02-27,2024-02-27,2024-05-03,C4072,Europe,Italy,P49298,Studyable,Furniture,S447,Novandustrial,Middleast,WH6,Amsterdam,Air,199,64.07,2649.93,1.41,4,1581,Delivered,5044.64
100040,2025-09-07,2025-09-07,2025-09-19,C6348,Asia,Malaysia,P40354,Thermometer,Healthcare,S631,BlueRiverrading,Asia,WH9,Johannesburg,Road,450,0.89,2900.5,8.69,12,1456,Delayed,2461.07
100041,2025-07-19,2025-07-24,2025-08-05,C9120,Africa,Nigeria,P17114,Snackarton,FMCG,S111,BlueRiverrading,Europe,WH6,Amsterdam,Sea,339,7.77,6194.03,4.2,12,657,Delivered,1379.45
100042,2024-03-30,2024-03-31,2024-04-04,C5964,Europe,Spain,P14835,Handanitizerase,Healthcare,S803,Vertexanufacturing,Africa,WH1,Karachi,Air,420,5.25,7405.0,5.73,4,2708,Delivered,5107.93
100043,2025-08-16,2025-08-18,2025-08-23,C1009,Asia,India,P94791,Thirtundle,Apparel,S897,BlueRiverrading,Africa,WH3,Dubai,Air,251,0.67,7738.17,4.78,5,1178,Cancelled,-246.95
100044,2024-06-25,2024-06-27,2024-07-02,C4925,Northmerica,Mexico,P16970,Snackarton,FMCG,S894,Atlasourcing,Northmerica,WH9,Johannesburg,Air,186,2.72,945.92,0.05,5,1933,Delivered,381.37
100045,2025-04-20,2025-04-20,2025-04-28,C6989,Northmerica,Unitedtates,P90642,Powerank,Electronics,S536,Novandustrial,Asia,WH1,Karachi,Rail,32,59.91,1517.12,1.47,8,726,Delivered,1298.62
100046,2024-01-01,2024-03-01,2024-08-01,C6565,Europe,Poland,P80080,Denimeans,Apparel,S980,Pioneeristribution,Africa,WH7,Toronto,Air,497,7.99,8761.03,0.72,5,2292,Delivered,7848.92
100047,2024-01-11,2024-04-11,2024-06-11,C9580,Asia,Pakistan,P34285,Detergentag,FMCG,S862,Orionupplies,Northmerica,WH0,Cairo,Road,322,1.55,159.1,1.6,2,3114,Cancelled,-178.98
100048,2025-10-03,2025-10-03,2025-10-28,C7241,Middleast,Saudirabia,P83553,Wirelessarbuds,Electronics,S897,Zenithrocurement,Asia,WH6,Amsterdam,Sea,344,30.62,9333.28,4.29,25,496,Delayed,12412.67
100049,2024-11-30,2024-11-30,2024-12-26,C8730,Europe,Poland,P53088,Wirelessarbuds,Electronics,S232,Summitupplyo,Middleast,WH0,Cairo,Sea,294,17.36,4503.84,3.38,23,233,Delivered,1408.39
100050,2025-03-25,2025-03-29,2025-04-21,C2906,Europe,Sweden,P16254,Toothpasteox,FMCG,S860,Evergreenartners,Asia,WH3,Dubai,Sea,160,0.76,721.6,0.94,23,3745,Delivered,231.02
100051,2024-07-13,2024-07-15,2024-07-20,C7777,Middleast,Saudirabia,P21314,Denimeans,Apparel,S502,BlueRiverrading,Middleast,WH1,Karachi,Air,286,8.58,173.88,4.85,5,753,Inransit,1679.56
100052,2025-07-06,2025-08-06,2025-08-11,C8240,Europe,France,P33321,Bookshelf,Furniture,S348,Novandustrial,Europe,WH4,Istanbul,Rail,56,34.65,3140.4,0.93,5,1129,Delivered,1696.33
100053,2024-09-13,2024-09-13,2024-09-17,C1302,Europe,Spain,P92558,Hoodie,Apparel,S155,BlueRiverrading,Northmerica,WH6,Amsterdam,Road,223,5.97,21.31,8.8,4,177,Delivered,1207.92
100054,2024-07-01,2024-09-01,2024-09-11,C6870,Africa,Nigeria,P77067,Bluetoothpeaker,Electronics,S373,Novandustrial,Europe,WH0,Cairo,Rail,303,67.72,1119.16,8.05,10,1088,Delivered,8541.62
100055,2024-09-29,2024-09-29,2024-10-01,C5632,Asia,Pakistan,P13596,Faceaskox,Healthcare,S311,Zenithrocurement,Northmerica,WH7,Toronto,Air,34,3.69,165.46,0.72,2,266,Delivered,255.87
100056,2025-04-14,2025-04-15,2025-04-24,C7891,Middleast,Turkey,P82274,Snackarton,FMCG,S653,Orionupplies,Middleast,WH1,Karachi,Road,434,0.19,762.46,8.35,9,3039,Delivered,825.41
100057,2025-11-01,2025-11-01,2025-11-22,C2605,Northmerica,Canada,P81158,Wirelessarbuds,Electronics,S723,Vertexanufacturing,Northmerica,WH2,Lahore,Sea,13,91.82,93.66,0.12,21,1519,Delayed,525.01
100058,2024-08-30,2024-08-30,2024-09-03,C1005,Africa,Nigeria,P51427,Bookshelf,Furniture,S831,Evergreenartners,Northmerica,WH9,Johannesburg,Air,84,8.31,5898.04,3.96,4,695,Delivered,6069.26
100059,2024-12-07,2024-12-07,2024-12-24,C7316,Europe,Spain,P16469,Studyable,Furniture,S509,Vertexanufacturing,Africa,WH5,Frankfurt,Sea,127,60.4,3070.8,0.33,17,773,Delivered,4565.81
100060,2024-11-15,2024-11-20,2024-11-28,C7988,Africa,Southfrica,P57362,Hoodie,Apparel,S772,Atlasourcing,Middleast,WH0,Cairo,Rail,399,7.03,8764.97,0.39,8,159,Delivered,2613.2
100061,2025-08-18,2025-08-18,2025-08-25,C2994,Middleast,Oman,P89767,Studyable,Furniture,S649,Summitupplyo,Middleast,WH3,Dubai,Air,428,48.15,3408.2,1.66,7,1654,Delivered,8828.36
100062,2024-05-16,2024-05-17,2024-05-28,C6951,Northmerica,Mexico,P97388,Handanitizerase,Healthcare,S939,BlueRiverrading,Europe,WH5,Frankfurt,Road,276,3.21,205.96,0.3,11,1514,Delivered,3141.44
100063,2024-11-05,2024-11-05,2024-11-27,C7943,Europe,France,P21954,Bluetoothpeaker,Electronics,S736,Atlasourcing,Middleast,WH0,Cairo,Sea,431,70.51,16589.81,5.87,22,624,Delivered,23994.69
100064,2025-07-09,2025-09-09,2025-09-24,C2202,Middleast,Oman,P34519,Firstidit,Healthcare,S653,Evergreenartners,Middleast,WH7,Toronto,Road,457,1.67,903.19,8.84,15,2235,Delayed,1412.27
100065,2025-03-16,2025-03-16,2025-07-04,C1950,Europe,Poland,P12336,Bluetoothpeaker,Electronics,S353,Evergreenartners,Europe,WH3,Dubai,Sea,205,82.26,7863.3,0.71,22,1595,Delivered,5454.06
100066,2024-08-15,2024-08-19,2024-08-30,C4228,Asia,Indonesia,P30103,Shampooack,FMCG,S360,Pioneeristribution,Europe,WH8,Chicago,Rail,166,5.32,543.12,4.73,11,3191,Inransit,310.27
100067,2024-09-10,2024-10-13,2024-10-17,C7166,Middleast,Turkey,P10814,Faceaskox,Healthcare,S445,Summitupplyo,Middleast,WH3,Dubai,Air,311,8.43,8171.73,6.05,4,2465,Delivered,2231.14
100068,2025-04-04,2025-07-04,2025-07-11,C4876,Middleast,Qatar,P10126,Snackarton,FMCG,S205,Summitupplyo,Middleast,WH4,Istanbul,Rail,101,1.85,206.85,0.74,7,4446,Delivered,366.14
100069,2025-04-09,2025-08-09,2025-10-09,C4030,Middleast,Unitedrabmirates,P29256,Denimeans,Apparel,S100,Novandustrial,Northmerica,WH6,Amsterdam,Air,328,4.26,4517.28,9.77,2,2568,Delivered,1364.39
100070,2025-11-03,2025-11-03,2025-11-09,C8970,Europe,France,P35150,Bottledaterase,FMCG,S343,Crescentogistics,Europe,WH2,Lahore,Road,34,3.86,491.24,0.95,6,685,Delivered,242.66
100071,2024-06-27,2024-06-27,2024-07-13,C6299,Middleast,Qatar,P55765,Faceaskox,Healthcare,S600,Evergreenartners,Asia,WH4,Istanbul,Rail,353,3.54,1839.62,9.27,11,4358,Delivered,1136.85
100072,2024-03-24,2024-03-24,2024-03-28,C9533,Middleast,Turkey,P31566,Router,Electronics,S800,Evergreenartners,Middleast,WH1,Karachi,Rail,369,55.86,4412.34,4.56,4,1214,Delivered,18109.73
100073,2025-10-31,2025-10-31,2025-12-11,C8311,Northmerica,Canada,P99106,Storageabinet,Furniture,S117,Summitupplyo,Africa,WH4,Istanbul,Air,266,80.41,4589.06,5.75,8,243,Delivered,14836.4
100074,2025-05-10,2025-05-10,2025-10-16,C9038,Europe,Italy,P58770,Flooramp,Furniture,S899,Orionupplies,Middleast,WH6,Amsterdam,Rail,275,23.93,4080.75,7.37,11,1951,Delivered,9410.35
100075,2025-01-25,2025-01-29,2025-02-13,C9519,Europe,Sweden,P66373,Studyable,Furniture,S860,Vertexanufacturing,Africa,WH1,Karachi,Rail,248,16.53,3699.44,6.72,15,1337,Delayed,8516.53
100076,2024-04-29,2024-04-29,2024-05-18,C6619,Africa,Morocco,P96925,Bluetoothpeaker,Electronics,S834,Evergreenartners,Europe,WH8,Chicago,Rail,320,9.57,31062.4,8.47,14,56,Delivered,26028.6
100077,2025-01-07,2025-05-07,2025-07-26,C7852,Asia,Bangladesh,P97955,Bookshelf,Furniture,S622,Atlasourcing,Middleast,WH6,Amsterdam,Sea,243,95.78,1874.54,2.45,21,756,Delivered,15790.16
100078,2024-08-13,2024-08-17,2024-08-21,C2387,Middleast,Qatar,P39975,Bookshelf,Furniture,S692,BlueRiverrading,Middleast,WH1,Karachi,Air,211,15.39,5447.29,1.25,4,2156,Delivered,4420.7
100079,2025-05-07,2025-06-07,2025-07-16,C6877,Northmerica,Unitedtates,P27685,Bluetoothpeaker,Electronics,S334,Orionupplies,Europe,WH4,Istanbul,Road,13,11.59,450.67,2.84,10,78,Delivered,106.95
100080,2024-11-02,2024-11-02,2024-11-12,C8184,Africa,Kenya,P32180,Toothpasteox,FMCG,S252,Pioneeristribution,Asia,WH0,Cairo,Road,495,2.34,958.3,6.51,10,1922,Delivered,1739.83
100081,2025-12-31,2026-01-01,2026-01-22,C9646,Middleast,Qatar,P69052,Denimeans,Apparel,S500,Vertexanufacturing,Africa,WH2,Lahore,Sea,419,4.48,2827.12,5.66,21,851,Inransit,3026.21
100082,2025-11-23,2025-11-26,2025-12-08,C9340,Northmerica,Unitedtates,P63002,Vitaminack,Healthcare,S395,Novandustrial,Africa,WH7,Toronto,Sea,20,7.17,43.4,0.38,12,1336,Delivered,135.4
100083,2025-10-25,2025-10-30,2025-11-08,C6408,Europe,Germany,P69129,Firstidit,Healthcare,S647,BlueRiverrading,Northmerica,WH0,Cairo,Rail,248,9.51,318.48,6.72,9,1962,Delivered,1404.39
100084,2024-07-19,2024-07-20,2024-07-25,C3343,Africa,Southfrica,P47904,Socksack,Apparel,S740,Evergreenartners,Northmerica,WH2,Lahore,Road,226,7.54,9784.04,8.88,5,1789,Delivered,5200.55
100085,2024-06-20,2024-06-22,2024-06-30,C5090,Asia,Vietnam,P16960,Flooramp,Furniture,S116,BlueRiverrading,Middleast,WH6,Amsterdam,Air,339,54.07,6129.73,0.48,8,1570,Delivered,22314.94
100086,2025-10-22,2025-10-22,2025-11-01,C8119,Europe,Spain,P68053,Detergentag,FMCG,S299,Novandustrial,Africa,WH9,Johannesburg,Rail,34,5.65,552.1,1.52,10,4026,Inransit,118.21
100087,2025-04-02,2025-05-02,2025-05-10,C1390,Middleast,Oman,P54813,Handanitizerase,Healthcare,S434,Zenithrocurement,Europe,WH2,Lahore,Rail,126,7.94,560.44,3.75,8,3130,Delivered,1636.31
100088,2025-06-01,2025-08-01,2025-10-01,C1614,Middleast,Saudirabia,P97312,Storageabinet,Furniture,S625,Vertexanufacturing,Middleast,WH6,Amsterdam,Air,168,53.06,5714.08,9.18,2,1171,Delivered,5238.15
100089,2024-12-29,2024-12-29,2025-03-01,C1920,Middleast,Qatar,P17564,Bottledaterase,FMCG,S821,Atlasourcing,Northmerica,WH5,Frankfurt,Road,170,4.87,627.9,7.29,5,1431,Inransit,1038.15
100090,2024-05-20,2024-05-21,2024-05-31,C3032,Northmerica,Mexico,P71916,Socksack,Apparel,S417,Orionupplies,Africa,WH4,Istanbul,Air,254,2.78,5946.12,4.97,10,421,Delivered,3999.84
100091,2024-12-24,2024-12-27,2025-02-01,C4760,Europe,Poland,P12050,Flooramp,Furniture,S528,Summitupplyo,Europe,WH8,Chicago,Road,151,32.07,9942.57,2.41,6,2083,Delivered,2265.48
100092,2025-07-08,2025-07-08,2025-08-19,C2828,Middleast,Unitedrabmirates,P55028,Wirelessarbuds,Electronics,S479,Atlasourcing,Middleast,WH4,Istanbul,Rail,207,43.11,1723.77,1.65,12,1392,Delivered,15203.27
100093,2025-07-17,2025-07-20,2025-07-23,C6429,Africa,Nigeria,P51844,Storageabinet,Furniture,S342,Summitupplyo,Northmerica,WH7,Toronto,Air,375,11.51,1816.25,2.81,3,275,Inransit,11369.85
100094,2025-05-31,2025-05-31,2025-06-01,C2913,Northmerica,Mexico,P40448,Bookshelf,Furniture,S672,Novandustrial,Northmerica,WH4,Istanbul,Air,388,62.84,3181.92,9.74,1,899,Delivered,9097.84
100095,2024-04-29,2024-04-29,2024-05-13,C2933,Europe,Italy,P93300,Router,Electronics,S709,Crescentogistics,Europe,WH4,Istanbul,Road,276,2.21,11009.96,5.04,10,1396,Delivered,9555.43
100096,2024-06-18,2024-06-18,2024-06-29,C1954,Northmerica,Mexico,P91121,Thermometer,Healthcare,S223,Vertexanufacturing,Northmerica,WH2,Lahore,Rail,472,0.42,974.24,6.42,11,4172,Delivered,758.86
100097,2025-08-15,2025-08-16,2025-09-02,C1317,Northmerica,Unitedtates,P12396,Denimeans,Apparel,S214,Novandustrial,Asia,WH9,Johannesburg,Sea,195,2.85,4205.75,1.57,17,3261,Delivered,2167.67
100098,2024-05-26,2024-05-29,2024-08-06,C2704,Northmerica,Unitedtates,P43130,Router,Electronics,S656,Novandustrial,Europe,WH8,Chicago,Sea,354,22.74,49649.96,4.47,10,405,Delivered,15280.46
100099,2024-01-31,2024-01-31,2024-07-02,C4998,Asia,Indonesia,P28787,Sportswearet,Apparel,S357,Pioneeristribution,Middleast,WH6,Amsterdam,Road,215,3.23,44.45,8.57,6,1697,Cancelled,-245.48
100100,2024-01-17,2024-01-18,2024-12-02,C2007,Asia,Bangladesh,P80981,Officehair,Furniture,S566,BlueRiverrading,Middleast,WH8,Chicago,Sea,423,5.71,9335.33,5.73,25,1306,Delayed,3362.14
100101,2024-09-08,2024-09-08,2024-09-15,C2887,Africa,Southfrica,P55539,Toothpasteox,FMCG,S341,Vertexanufacturing,Northmerica,WH2,Lahore,Road,333,8.54,173.82,1.91,7,1340,Delivered,26.74
100102,2024-07-28,2024-07-29,2024-08-21,C9476,Asia,Indonesia,P31195,Storageabinet,Furniture,S775,Vertexanufacturing,Africa,WH4,Istanbul,Sea,260,0.33,885.8,2.76,23,1080,Delivered,3736.1
100103,2025-03-04,2025-04-04,2025-04-14,C4356,Middleast,Oman,P24288,Socksack,Apparel,S198,Evergreenartners,Northmerica,WH0,Cairo,Rail,406,3.96,2207.76,0.56,10,3492,Delivered,6063.85
100104,2024-03-24,2024-03-29,2024-04-02,C1988,Africa,Southfrica,P63268,Toothpasteox,FMCG,S402,Novandustrial,Asia,WH3,Dubai,Road,473,3.58,613.34,5.88,4,4479,Delivered,3641.59
100105,2025-10-06,2025-11-06,2025-11-28,C4056,Europe,Netherlands,P92711,Smartatch,Electronics,S623,Orionupplies,Middleast,WH8,Chicago,Sea,283,97.1,12379.3,3.18,22,257,Delivered,12182.02
100106,2025-03-06,2025-05-06,2025-10-06,C1959,Northmerica,Unitedtates,P48827,Snackarton,FMCG,S792,Novandustrial,Middleast,WH2,Lahore,Rail,33,6.44,532.52,1.49,5,3246,Delivered,65.38
100107,2024-08-23,2024-08-26,2024-09-08,C8099,Northmerica,Mexico,P15109,Firstidit,Healthcare,S600,Evergreenartners,Asia,WH9,Johannesburg,Sea,126,6.4,106.4,0.32,13,783,Delivered,497.86
100108,2024-11-15,2024-11-16,2024-12-09,C9357,Europe,Italy,P36143,Shampooack,FMCG,S110,Orionupplies,Europe,WH5,Frankfurt,Sea,310,9.07,2111.7,0.12,23,2343,Inransit,1352.03
100109,2025-04-02,2025-07-02,2025-08-02,C9783,Middleast,Unitedrabmirates,P58787,Bookshelf,Furniture,S772,Evergreenartners,Northmerica,WH9,Johannesburg,Air,211,80.5,9185.5,2.18,1,291,Delivered,11962.64
100110,2025-11-08,2025-11-08,2025-11-21,C8014,Middleast,Unitedrabmirates,P60861,Vitaminack,Healthcare,S221,Evergreenartners,Northmerica,WH0,Cairo,Rail,152,4.41,710.32,4.39,13,1086,Delivered,305.25
100111,2024-09-01,2024-09-01,2024-09-04,C9907,Asia,Pakistan,P36289,Detergentag,FMCG,S959,Vertexanufacturing,Asia,WH5,Frankfurt,Air,327,0.25,3161.75,6.82,3,4506,Inransit,2152.32
100112,2024-09-11,2024-11-14,2024-11-23,C5109,Europe,Spain,P25313,Faceaskox,Healthcare,S111,Novandustrial,Europe,WH0,Cairo,Road,96,1.32,886.72,1.26,9,1760,Delivered,1147.61
100113,2025-09-22,2025-09-26,2025-11-10,C4665,Middleast,Unitedrabmirates,P85717,Bookshelf,Furniture,S822,Evergreenartners,Northmerica,WH6,Amsterdam,Rail,159,43.02,2740.18,4.56,15,361,Delayed,5080.43
100114,2024-04-02,2024-08-02,2024-08-11,C8005,Europe,Italy,P69321,Flooramp,Furniture,S123,Novandustrial,Middleast,WH9,Johannesburg,Road,413,34.92,7021.96,4.18,9,1437,Delivered,20052.39
100115,2025-08-09,2025-11-09,2025-11-15,C2394,Middleast,Unitedrabmirates,P55241,Hoodie,Apparel,S345,Zenithrocurement,Asia,WH7,Toronto,Road,134,3.17,444.78,6.27,6,3458,Delivered,637.82
100116,2024-09-04,2024-09-04,2024-09-12,C1525,Africa,Egypt,P98397,Officehair,Furniture,S101,Atlasourcing,Africa,WH6,Amsterdam,Road,384,68.04,4527.36,7.3,8,602,Delivered,12323.48
100117,2024-03-24,2024-03-25,2024-04-04,C9219,Middleast,Unitedrabmirates,P77649,Snackarton,FMCG,S262,Summitupplyo,Europe,WH5,Frankfurt,Rail,238,0.41,287.58,6.48,10,4855,Delivered,123.86
100118,2025-07-12,2025-12-12,2025-12-25,C4432,Middleast,Unitedrabmirates,P52240,Router,Electronics,S232,Atlasourcing,Europe,WH5,Frankfurt,Rail,285,89.27,2441.95,7.62,13,1021,Delivered,5444.45
100119,2024-07-22,2024-07-26,2024-07-28,C3203,Africa,Egypt,P93310,Smartatch,Electronics,S818,BlueRiverrading,Middleast,WH2,Lahore,Road,399,40.28,5971.72,3.79,2,1006,Delivered,5417.55
100120,2024-08-10,2024-12-10,2024-12-20,C5293,Middleast,Qatar,P86260,Handanitizerase,Healthcare,S856,Evergreenartners,Middleast,WH8,Chicago,Sea,68,3.92,306.56,0.86,10,1208,Delivered,273.75
